status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness,state_zip,state,city,job_level
NEW,information technology - database administrator,Two Harbors Investment Corp.,"Coppell, TX 75019",10/5/2024,"Understanding of SSIS and automating data loads and extractions. The Database Administrator is primarily dedicated to providing database management and day-to-day administration of all our database,…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=6765a0e60de6a64b,IndeedScraperUSAEng_6765a0e60de6a64b,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX 75019,TX,Coppell,Entry-Level
NEW,sap mm consultant,NTT DATA,"Irving, TX 75039",11/5/2024,"Integration: Proficiency in integrating SAP with third-party systems and interfaces, ensuring seamless data flow and communication. The successful candidate will perform work that is highly complex,…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=80a31c36cae41d99,IndeedScraperUSAEng_80a31c36cae41d99,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX 75039,TX,Irving,Entry-Level
NEW,data clerk - high school,Arlington Independent School District,"Arlington, TX 76013",11/2/2024,Maintain scheduling and student demographic data on computer. To maintain student records and schedules and to handle all mainframe computer needs for counselors. Enter new students on the computer.,,https://www.indeed.com/m/viewjob?jk=bdb1acde9f7ca28e,IndeedScraperUSAEng_bdb1acde9f7ca28e,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX 76013,TX,Arlington,Entry-Level
NEW,penetration tester / ml data collection,Autoroboto,"Mountain View, CA",11/6/2024,"These services include mechanical, electrical, software design, data collection quality assurance, and testing of new hardware and software. AutoRoboto is a consulting firm that specializes in…","Job types: Full-time
Benefits: Paid parental leave, Paid holidays, Health insurance, Dental insurance, Tuition reimbursement, Parental leave, Vision insurance, 401(k) matching
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=59066ced2b4bef76,IndeedScraperUSAEng_59066ced2b4bef76,IndeedScraperUSAEng,Data,USA_ENGLISH,$65000 - $80000 yearly,UNKNOWN, CA,CA,Mountain View,Entry-Level
NEW,"big data consultant (durham, nc, westlake, tx)",Sonsoft Inc,"Westlake, TX",10/5/2024,"Experience in processing structured data - Warehousing Concepts like de-duplication, cleansing, look ups, transformation, data versioning etc. Experience in working with business users to analyze and…","Job types: Full-time
Job types cc: Permanent, Full-time",https://www.indeed.com/m/viewjob?jk=acb95946f05266ba,IndeedScraperUSAEng_acb95946f05266ba,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX,TX,Westlake,Mid-Level
NEW,data scientist,Scalable Systems,"Piscataway, NJ",10/14/2024,"Develop and support data matching, enterprise search, data mining and machine learning efforts as a member of the Data Services team. Responsible for building the long-term strategic architecture…",,https://www.indeed.com/m/viewjob?jk=d59e6fcd36c41bc9,IndeedScraperUSAEng_d59e6fcd36c41bc9,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NJ,NJ,Piscataway,Entry-Level
NEW,big data,Intone Networks,"Plano, TX",10/16/2024,"Experience working with large data sets, ETL, or applications that do high-volume data collection. Team is building a new platform for Credit Card data. Spark - EMR and Glue to some extent.",,https://www.indeed.com/m/viewjob?jk=945b182c05507e2d,IndeedScraperUSAEng_945b182c05507e2d,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX,TX,Plano,Mid-Level
NEW,data researcher (part-time),SportTechie,"New York, NY",10/9/2024,Work closely with SportTechie team to complete research and data management projects. Strategize with SportTechie team regarding data management procedures and marketing and audience development…,"Job types: Part-time
Benefits: Flexible schedule
Job types cc: Part-time",https://www.indeed.com/m/viewjob?jk=2284e845407e1ca5,IndeedScraperUSAEng_2284e845407e1ca5,IndeedScraperUSAEng,Data,USA_ENGLISH,$25 - $25 hourly,UNKNOWN, NY,NY,New York,Entry-Level
NEW,scanning operator,Databank IMX,"Huntingdon Valley, PA 19006",11/15/2024,"The ideal candidate for this position will be responsible for ensuring that all documents are scanned with maximum quality, accuracy, and speed according to job priority and specifications.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=ff14c8ec6dd5c158,IndeedScraperUSAEng_ff14c8ec6dd5c158,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, PA 19006,PA,Huntingdon Valley,Entry-Level
NEW,business review strategist,DocuSign,"San Francisco, CA",10/3/2024,"Experience working with data visualization tools including Tableau. Experience analyzing data via SQL, Excel, Python. Able to influence without authority, is able to tell a story based on data in…","Remote: Hybrid work
Benefits: Paid parental leave, Paid holidays, Health insurance, Paid time off, Parental leave",https://www.indeed.com/m/viewjob?jk=51ff6eb66f4091d0,IndeedScraperUSAEng_51ff6eb66f4091d0,IndeedScraperUSAEng,Data,USA_ENGLISH,$129000 - $216975 yearly,TEMPORARILY_REMOTE, CA,CA,San Francisco,Mid-Level
NEW,data scientist - san francisco,Rad Hires,"Modesto, CA",10/5/2024,Data Scientist - San Francisco - On-Site Our client is a growing Fintech startup that is looking for a full-time Data Scientist to join their team in San Francisco. The ideal candidate will have a…,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=2e2c681ce934634b,IndeedScraperUSAEng_2e2c681ce934634b,IndeedScraperUSAEng,Data,USA_ENGLISH,$150000 - $170000 yearly,UNKNOWN, CA,CA,Modesto,Mid-Level
NEW,transaction processor,LIFE Outreach International,"Euless, TX 76040",10/5/2024,"Understanding of data collection processes & procedures. The position is responsible for the day-to-day functions of the web presence, ensuring timely and accurate processing of transactions.","Job types: Full-time
Shifts: 8 hour shift, Day shift
Job types cc: Full-time
Schedules: 8 hour shift, Overtime, No weekends, Day shift, Monday to Friday, Weekends & holidays off",https://www.indeed.com/m/viewjob?jk=e529a04d26ef084f,IndeedScraperUSAEng_e529a04d26ef084f,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX 76040,TX,Euless,Entry-Level
NEW,data scientist - san francisco,Rad Hires,"Fremont, CA",10/5/2024,Data Scientist - San Francisco - On-Site Our client is a growing Fintech startup that is looking for a full-time Data Scientist to join their team in San Francisco. The ideal candidate will have a…,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=29ffa309a5b82ea7,IndeedScraperUSAEng_29ffa309a5b82ea7,IndeedScraperUSAEng,Data,USA_ENGLISH,$150000 - $170000 yearly,UNKNOWN, CA,CA,Fremont,Mid-Level
NEW,product owner – digital data collection avp,Morgan Stanley,"New York, NY 10036",10/3/2024,"Advocate for data integrity, including developing and maintaining data quality scorecards. Minimum of 3-4 years of experience in a data or analytics role, preferably in the clickstream data collection…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=8af9911daa7db5aa,IndeedScraperUSAEng_8af9911daa7db5aa,IndeedScraperUSAEng,Data,USA_ENGLISH,$100000 - $135000 yearly,UNKNOWN, NY 10036,NY,New York,Mid-Level
NEW,data scientist (remote),Jun Group,"New York, NY",10/11/2024,"Create data visualizations, reports, dashboards, and data audits. We believe in hiring the right person as opposed to the right combination of keywords. 3+ years of relevant professional experience.","Job types: Full-time
Remote: Remote, Hybrid work
Benefits: Work from home, 401(k) matching
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=70c63f3435337935,IndeedScraperUSAEng_70c63f3435337935,IndeedScraperUSAEng,Data,USA_ENGLISH,$80000 - $110000 yearly,UNKNOWN, NY,NY,New York,Entry-Level
NEW,"burrow dco tech, dcc communities","Amazon Data Services, Inc.","Garland, TX 75041",10/9/2024,The position will help ensure overall availability and reliability to meet or exceed defined service levels of data center operations. This role is generally external customer-facing and/or work with…,"Job types: Full-time
Job types cc: Full-time
Schedules: On call",https://www.indeed.com/m/viewjob?jk=83125c058b9f3656,IndeedScraperUSAEng_83125c058b9f3656,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX 75041,TX,Garland,Entry-Level
NEW,artificial intelligence (ai) trainer,Juji,"San Jose, CA 95117",10/10/2024,"Familiar with basic statistics and data processing software. Our ideal candidates are open-minded, multi-talented individuals who are sensitive to the nuances of interpersonal communication and adept…","Job types: Part-time, Full-time
Job types cc: Part-time, Full-time",https://www.indeed.com/m/viewjob?jk=464c5aa47c2980b2,IndeedScraperUSAEng_464c5aa47c2980b2,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, CA 95117,CA,San Jose,Entry-Level
NEW,marketing data scientist,PayPal,"San Jose, CA",10/24/2024,"Experience with data modelling, machine learning algorithms, and data science techniques. The successful candidate will be responsible for providing data-driven insights including but not limited to…","Job types: Full-time
Remote: Hybrid work
Benefits: Health insurance, Dental insurance, Vision insurance, Life insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=5eaee15c91b81ed7,IndeedScraperUSAEng_5eaee15c91b81ed7,IndeedScraperUSAEng,Data,USA_ENGLISH,$60900 - $147400 yearly,TEMPORARILY_REMOTE, CA,CA,San Jose,Entry-Level
NEW,data scientist - pbm,CVS Health,"New York, NY 10013",11/6/2024,Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources. A strong drive to explore data and make a business impact by applying data science to…,"Job types: Full-time
Remote: Hybrid work
Benefits: Store discount, Employee stock purchase plan, Paid holidays, Disability insurance, Health insurance, Dental insurance, 401(k), Tuition reimbursement, Paid time off, Vision insurance, Employee discount, Life insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=67c4fddbc3de8b6e,IndeedScraperUSAEng_67c4fddbc3de8b6e,IndeedScraperUSAEng,Data,USA_ENGLISH,$79310 - $173040 yearly,TEMPORARILY_REMOTE, NY 10013,NY,New York,Mid-Level
NEW,data architect (remote),"Teaching Strategies, LLC","Denton, TX 76201",10/5/2024,"You will work to broaden the knowledge of our data, standardize data transformations, and influence data handling across the company. Solid grasp on data modeling, data warehousing, and ETL techniques…","Job types: Full-time
Remote: Remote
Benefits: Paid parental leave, Paid holidays, Health insurance, Unlimited paid time off, Tuition reimbursement, Parental leave, 401(k) matching, Flexible schedule
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=a7b75003f28877f5,IndeedScraperUSAEng_a7b75003f28877f5,IndeedScraperUSAEng,Data,USA_ENGLISH,,FULLY_REMOTE, TX 76201,TX,Denton,Entry-Level
NEW,cobol programmer,NTT DATA,"Plano, TX 75086",11/12/2024,Provide daily development and service work for our programs. Apply Agile and Product Management best practices to assigned work. Resolve complex problems and complete complex coding assignments.,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=9494cfe748f1a6ca,IndeedScraperUSAEng_9494cfe748f1a6ca,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX 75086,TX,Plano,Entry-Level
NEW,2025 milb data operations (seasonal),MLB Data Operations,"Sacramento, CA",11/15/2024,"Major League Baseball is seeking Data Operations seasonal personnel for the upcoming season. Data Operations personnel are responsible for digitally scoring games from the ballpark, which provides…","Job types: Part-time
Job types cc: Part-time, Seasonal
Schedules: Weekends as needed",https://www.indeed.com/m/viewjob?jk=d39efe5af2675fef,IndeedScraperUSAEng_d39efe5af2675fef,IndeedScraperUSAEng,Data,USA_ENGLISH,$25 - $25 hourly,UNKNOWN, CA,CA,Sacramento,Entry-Level
NEW,"data scientist, ads metrics",Google,"Mountain View, CA",11/1/2024,"Use custom data infrastructure or existing data models as appropriate, using specialized knowledge. At Google, data drives all of our decision-making.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=e503b0c04fb41a48,IndeedScraperUSAEng_e503b0c04fb41a48,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, CA,CA,Mountain View,Mid-Level
NEW,experienced machine learning modeler - payments,Plaid,"San Francisco, CA",10/3/2024,"Experience in developing end to end data systems/products and productionizing AI/ML models. Experience in well-known big data processing infrastructures, like Spark, Airflow, DBT, Hive, Presto, and…","Job types: Full-time
Remote: Hybrid work
Benefits: Health insurance, Dental insurance, 401(k), Vision insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=8562b1955eb6d61a,IndeedScraperUSAEng_8562b1955eb6d61a,IndeedScraperUSAEng,Data,USA_ENGLISH,$203040 - $303480 yearly,TEMPORARILY_REMOTE, CA,CA,San Francisco,Senior-Level
NEW,data scientist,Open Insights,"August, CA",10/5/2024,"Drive to learn new technologies, statistical methods and data manipulation techniques. Ability to engage data scientists to explore their existing and future ecosystem.",,https://www.indeed.com/m/viewjob?jk=89de7eae2118b69f,IndeedScraperUSAEng_89de7eae2118b69f,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, CA,CA,August,Entry-Level
NEW,2025 university recruiting - data-rich experimentation co-op,Merck Sharp & Dohme,"Rahway, NJ 07065",10/11/2024,"The tools that we develop are as diverse as the team developing them, and in this co-op role, the chosen candidate will leverage data-dense scientific approaches to enable our process research and…","Job types: Full-time
Shifts: Day shift
Remote: Hybrid work
Job types cc: Full-time
Schedules: Day shift",https://www.indeed.com/m/viewjob?jk=39a630d4a70cf7f8,IndeedScraperUSAEng_39a630d4a70cf7f8,IndeedScraperUSAEng,Data,USA_ENGLISH,,TEMPORARILY_REMOTE, NJ 07065,NJ,Rahway,Entry-Level
NEW,data scientist (visualization),US Department of Energy - Agency Wide,"Livermore, CA",11/6/2024,"Utilizing software applications and software languages such as (PowerBI, DAX, and other data analytics tool) s to generate reports or data visualizations that convey data to technical and non…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=67f030983473fe6a,IndeedScraperUSAEng_67f030983473fe6a,IndeedScraperUSAEng,Data,USA_ENGLISH,$103409 - $167336 yearly,UNKNOWN, CA,CA,Livermore,Mid-Level
NEW,remote coding (swift) expertise for ai training - tier 2,Outlier,"Cary, NC",10/9/2024,"We partner with organizations to train AI large language models, helping cutting-edge generative AI models write better code. Projects typically include discrete, highly variable problems that involve…","Job types: Contract
Remote: Remote
Job types cc: Contract, Freelance
Schedules: Overtime",https://www.indeed.com/m/viewjob?jk=96412c7821030459,IndeedScraperUSAEng_96412c7821030459,IndeedScraperUSAEng,Data,USA_ENGLISH,$30 - $30 hourly,FULLY_REMOTE, NC,NC,Cary,Entry-Level
NEW,ai data consultant,Booz Allen,"New York, NY",11/7/2024,Experience building complex data pipelines. Knowledge of the framework for implementing complex data pipeline solutions. Knowledge of cybersecurity or exposure to security logs and security data.,"Job types: Full-time
Benefits: Health insurance, Flexible spending account, Tuition reimbursement, Retirement plan
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=4ff3d79b68f03df4,IndeedScraperUSAEng_4ff3d79b68f03df4,IndeedScraperUSAEng,Data,USA_ENGLISH,$75600 - $172000 yearly,UNKNOWN, NY,NY,New York,Mid-Level
NEW,data operations representative,UKG,"Dallas, TX",10/18/2024,"With 80,000 customers across 150 countries, UKG is the largest U.S.-based private software company in the world. And we’re only getting started. At UKG, you get more than just a job.","Benefits: Loan repayment program, Tuition reimbursement, Pet insurance
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=e8bb6c459d454402,IndeedScraperUSAEng_e8bb6c459d454402,IndeedScraperUSAEng,Data,USA_ENGLISH,$31300 - $44950 yearly,UNKNOWN, TX,TX,Dallas,Entry-Level
NEW,clinical data management,Katalyst Healthcares & Life Sciences,"Emeryville, CA 94608",10/3/2024,Ensures the quality of clinical data within the EDC and other databases through data review and data reconciliation processes and communicates any outstanding issues.,"Job types: Contract
Job types cc: Contract",https://www.indeed.com/m/viewjob?jk=e9ce30284daadab7,IndeedScraperUSAEng_e9ce30284daadab7,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, CA 94608,CA,Emeryville,Mid-Level
NEW,data and analytics consultant,"Systems Evolution, Inc","New York, NY",11/7/2024,"Experience designing and building data platforms that support data lakes, data stores, data ingestion and transformations and API services for consuming data. Experience across our service offerings.","Benefits: Paid parental leave, Paid holidays, Disability insurance, Health insurance, Dental insurance, 401(k), Paid time off, Parental leave, Vision insurance, Life insurance
Job types cc: Permanent",https://www.indeed.com/m/viewjob?jk=64e408e2cf30b90c,IndeedScraperUSAEng_64e408e2cf30b90c,IndeedScraperUSAEng,Data,USA_ENGLISH,$140000 - $190000 yearly,UNKNOWN, NY,NY,New York,Mid-Level
NEW,gcp data platform architect,Accenture,"Irving, TX 75039",10/3/2024,"The ideal candidate possesses a deep understanding of GCP's data services, data warehousing, data lakes, big data technologies, and data security best practices. Travel may be required for this role.","Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=317f9f44b79ac479,IndeedScraperUSAEng_317f9f44b79ac479,IndeedScraperUSAEng,Data,USA_ENGLISH,,TEMPORARILY_REMOTE, TX 75039,TX,Irving,Entry-Level
NEW,"data scientist, product analytics",TikTok,"Mountain View, CA 94041",10/5/2024,"Deep dive into data sources, understand their limitations, and communicate complex data insights through exploratory analysis and research to suggest improvement. Experience with SQL, Python, or R.","Remote: Hybrid work
Benefits: Paid parental leave, Health savings account, AD&D insurance, Paid holidays, Disability insurance, Health insurance, Dental insurance, Flexible spending account, RSU, Paid time off, Parental leave, Employee assistance program, Vision insurance, 401(k) matching, Paid sick time",https://www.indeed.com/m/viewjob?jk=36a1d43f9b8338cc,IndeedScraperUSAEng_36a1d43f9b8338cc,IndeedScraperUSAEng,Data,USA_ENGLISH,$114000 - $240000 yearly,TEMPORARILY_REMOTE, CA 94041,CA,Mountain View,Senior-Level
NEW,mainframe db2 database administrator,Bank of America,"Plano, TX 75024",10/3/2024,"This job is responsible for tool and service designs within a technical domain that enable business strategies in accordance with architectural governance, standards and policies.","Job types: Full-time
Job types cc: Full-time
Schedules: On call",https://www.indeed.com/m/viewjob?jk=e1be246cdfcc860e,IndeedScraperUSAEng_e1be246cdfcc860e,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX 75024,TX,Plano,Mid-Level
NEW,business analysis advisor,NTT DATA,"Frisco, TX 75034",11/12/2024,"Business Analysis Advisor - Frisco, TX - 24-03125 Fully Remote W2 or C2C 9 + month project Company Overview: Req ID: 303464 NTT DATA strives to hire exceptional, innovative and passionate…","Remote: Remote
Benefits: Health savings account, AD&D insurance, Health insurance, Dental insurance, 401(k), Vision insurance",https://www.indeed.com/m/viewjob?jk=17689b461ed85e94,IndeedScraperUSAEng_17689b461ed85e94,IndeedScraperUSAEng,Data,USA_ENGLISH,$52.23 - $60.04 hourly,FULLY_REMOTE, TX 75034,TX,Frisco,Mid-Level
NEW,"data scientist, product analytics - monetization",Meta,"New York, NY",10/9/2024,"Communication and influence: You won’t simply present data, but tell data-driven stories. Analytics: You will guide teams using data and insights. Apply technical expertise with quantitative analysis,…",,https://www.indeed.com/m/viewjob?jk=d0edafb62e435c75,IndeedScraperUSAEng_d0edafb62e435c75,IndeedScraperUSAEng,Data,USA_ENGLISH,$173000 - $242000 yearly,UNKNOWN, NY,NY,New York,Senior-Level
NEW,data scientist,VTS3 Corp.,"Trenton, NJ",10/9/2024,Ability to understand various data structures and common methods in data transformation. Research and develop statistical learning models for data analysis. HDFS / Data Lake Stores / Analytics.,"Job types: Contract
Job types cc: Contract
Schedules: Overtime",https://www.indeed.com/m/viewjob?jk=53d023b0d0fb254c,IndeedScraperUSAEng_53d023b0d0fb254c,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NJ,NJ,Trenton,Mid-Level
NEW,data scientist,SAP,"San Ramon, CA",11/12/2024,SAP provides the annualized compensation range inclusive of base salary and variable incentive target for the career level applicable to the posted role.,"Job types: Full-time
Benefits: Referral program
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=38e72807e5701f35,IndeedScraperUSAEng_38e72807e5701f35,IndeedScraperUSAEng,Data,USA_ENGLISH,$101300 - $172200 yearly,UNKNOWN, CA,CA,San Ramon,Mid-Level
NEW,machine learning python expert,Outlier,"Raleigh, NC",11/10/2024,"We partner with organizations to train AI large language models, helping cutting-edge generative AI models write better code. Projects typically include discrete, highly variable problems that involve…","Job types: Contract
Job types cc: Contract, Freelance
Schedules: Overtime",https://www.indeed.com/m/viewjob?jk=db3334bf7595b914,IndeedScraperUSAEng_db3334bf7595b914,IndeedScraperUSAEng,Data,USA_ENGLISH,$30 - $30 hourly,UNKNOWN, NC,NC,Raleigh,Entry-Level
NEW,cognito data fusion,Horizon Corp,"New York, NY 11226",10/3/2024,Job Title: Cognito Data Fusion Location: NYC NY Duration: Contract Job Description: Cognito Data Fusion Job Type: Contract Pay: $60.00 - $70.00 per hour Benefits: * Dental insurance *…,"Job types: Contract
Remote: Hybrid work
Benefits: Health insurance, Dental insurance, Vision insurance
Job types cc: Contract",https://www.indeed.com/m/viewjob?jk=84c707ff8d94e592,IndeedScraperUSAEng_84c707ff8d94e592,IndeedScraperUSAEng,Data,USA_ENGLISH,$60 - $70 hourly,TEMPORARILY_REMOTE, NY 11226,NY,New York,Mid-Level
NEW,compensation and data administrator,Whitney Museum of American Art,"New York, NY 10014",10/17/2024,"Prepare data for and conduct periodic compensation surveys. The Administrator is the OPC’s point person for all HRIS matters, responsible for all data integrity and reporting functions with regard to…","Job types: Full-time
Benefits: Commuter assistance, Health insurance, Dental insurance, Paid time off, Vision insurance, 403(b), Pet insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=25b2d10ef925e0c0,IndeedScraperUSAEng_25b2d10ef925e0c0,IndeedScraperUSAEng,Data,USA_ENGLISH,$75000 - $85000 yearly,UNKNOWN, NY 10014,NY,New York,Entry-Level
NEW,remote coding expertise for ai training - tier 2,Outlier,"Raleigh, NC",10/9/2024,"We partner with organizations to train AI large language models, helping cutting-edge generative AI models write better code. Projects typically include discrete, highly variable problems that involve…","Job types: Contract
Remote: Remote
Job types cc: Contract, Freelance
Schedules: Overtime",https://www.indeed.com/m/viewjob?jk=2319d80f03f494a8,IndeedScraperUSAEng_2319d80f03f494a8,IndeedScraperUSAEng,Data,USA_ENGLISH,$30 - $30 hourly,FULLY_REMOTE, NC,NC,Raleigh,Entry-Level
