title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness,state_zip,state,city,lower_wage,upper_wage,type,converted_yearly_lower,converted_yearly_upper,job_level
airgas data officer,Airgas,"Radnor, PA",10/26/2024,"Experience with data governance and technology practice related to managing enterprise data as an asset. The Airgas data board will be essential in bridging central and decentralized data activities,…","Job types: Full-time
Benefits: Paid parental leave, Paid holidays, Health insurance, Dental insurance, Tuition reimbursement, Paid time off, Parental leave, Vision insurance, 401(k) matching
Job types cc: Full-time
Schedules: Weekends as needed",https://www.indeed.com/m/viewjob?jk=052a7aec65fd4956,IndeedScraperUSAEng_052a7aec65fd4956,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, PA,PA,Radnor,,,,,,Senior-Level
data scientist,Moveworks.ai,"Mountain View, CA",10/31/2024,"Data Science Mountain View, CA Full Time Who We Are Moveworks is the universal AI copilot for search and automation across all your business applications. We give employees one place to go to find…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=b67194750feff761,IndeedScraperUSAEng_b67194750feff761,IndeedScraperUSAEng,Data,USA_ENGLISH,$135000 - $165000 yearly,UNKNOWN, CA,CA,Mountain View,135000.0,165000.0,yearly,135000.0,165000.0,Mid-Level
data scientist - ca remote,Amynta Group,"Rocklin, CA",10/5/2024,Develop custom data models and algorithms to apply to data sets. Assess the effectiveness and accuracy of new data sources and data gathering techniques. ESSENTIAL JOB DUTIES AND RESPONSIBILITIES.,"Job types: Full-time
Remote: Remote
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=18a6423fdfdae414,IndeedScraperUSAEng_18a6423fdfdae414,IndeedScraperUSAEng,Data,USA_ENGLISH,$80000 - $115000 yearly,FULLY_REMOTE, CA,CA,Rocklin,80000.0,115000.0,yearly,80000.0,115000.0,Entry-Level
data architect with fhir/hl7,Ajna Infotech,"Raleigh, NC 27610",10/28/2024,"IA is responsible for data architecture framework, data model, design, deploy and maintain data warehouse and analytics solutions. Must have hands-on experience in designing data marts and star schema…","Job types: Contract
Job types cc: Contract",https://www.indeed.com/m/viewjob?jk=870c3133f0112d92,IndeedScraperUSAEng_870c3133f0112d92,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC 27610,NC,Raleigh,,,,,,Senior-Level
document scanning,Starpoint Global Services,"Siler City, NC 27344",10/22/2024,Starpoint Inc is searching for weekday help in our document imaging department. Hours are 8am-4pm Monday through Friday. Please apply in person at 1311 North 2nd Ave Siler City NC. No phone calls…,"Job types: Full-time
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=1aa8c6d1ab53f0e5,IndeedScraperUSAEng_1aa8c6d1ab53f0e5,IndeedScraperUSAEng,Data,USA_ENGLISH,$10 - $10 hourly,UNKNOWN, NC 27344,NC,Siler City,10.0,10.0,hourly,20800.0,20800.0,Entry-Level
data steward,Sumitomo Mitsui Banking Corporation,"White Plains, NY 10601",10/28/2024,"Experience in developing data standards, processes, and policies, as well as developing and implementing enterprise data strategies, operational data stores and data quality tools.","Job types: Full-time
Benefits: Work from home
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=2423d4435c0484fc,IndeedScraperUSAEng_2423d4435c0484fc,IndeedScraperUSAEng,Data,USA_ENGLISH,$158000 - $198000 yearly,UNKNOWN, NY 10601,NY,White Plains,158000.0,198000.0,yearly,158000.0,198000.0,Mid-Level
pricing integrity agent,RetailData LLC,"Apex, NC",10/9/2024,"Field Representative - Flexible Schedules For College Students - No Experience Needed. Flexible schedules, you can work within the assigned window anytime the store is open! At least 18 years of age.","Job types: Part-time
Benefits: Mileage reimbursement, 401(k) matching, Flexible schedule, Referral program, Pet insurance
Job types cc: Part-time",https://www.indeed.com/m/viewjob?jk=eaf16dca42e65768,IndeedScraperUSAEng_eaf16dca42e65768,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC,NC,Apex,,,,,,Entry-Level
data/warehouse architect,"ITNOVA, LLC","Jersey City, NJ 07302",10/17/2024,"Experience in data governance, data management, data modeling, data cleansing, data extraction and transformation, data analysis, data migration, data integration and data mapping.","Job types: Full-time
Benefits: Health insurance, Dental insurance, 401(k), Tuition reimbursement, Paid time off, Vision insurance
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=2807b65fc378895e,IndeedScraperUSAEng_2807b65fc378895e,IndeedScraperUSAEng,Data,USA_ENGLISH,$140000 - $140000 yearly,UNKNOWN, NJ 07302,NJ,Jersey City,140000.0,140000.0,yearly,140000.0,140000.0,Senior-Level
remote coding expertise for ai training - tier 2,Outlier,"Winston-Salem, NC",10/9/2024,"We partner with organizations to train AI large language models, helping cutting-edge generative AI models write better code. Projects typically include discrete, highly variable problems that involve…","Job types: Contract
Remote: Remote
Job types cc: Contract, Freelance
Schedules: Overtime",https://www.indeed.com/m/viewjob?jk=a889277bbbc00179,IndeedScraperUSAEng_a889277bbbc00179,IndeedScraperUSAEng,Data,USA_ENGLISH,$30 - $30 hourly,FULLY_REMOTE, NC,NC,Winston-Salem,30.0,30.0,hourly,62400.0,62400.0,Entry-Level
machine learning python expert,Outlier,"Greensboro, NC",11/10/2024,"We partner with organizations to train AI large language models, helping cutting-edge generative AI models write better code. Projects typically include discrete, highly variable problems that involve…","Job types: Contract
Job types cc: Contract, Freelance
Schedules: Overtime",https://www.indeed.com/m/viewjob?jk=2e3719b6aded0c09,IndeedScraperUSAEng_2e3719b6aded0c09,IndeedScraperUSAEng,Data,USA_ENGLISH,$30 - $30 hourly,UNKNOWN, NC,NC,Greensboro,30.0,30.0,hourly,62400.0,62400.0,Entry-Level
"data scientist, product analytics",Meta,"Burlingame, CA 94010",10/26/2024,"As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp,…",,https://www.indeed.com/m/viewjob?jk=35f56c86bb0b6899,IndeedScraperUSAEng_35f56c86bb0b6899,IndeedScraperUSAEng,Data,USA_ENGLISH,$114000 - $171000 yearly,UNKNOWN, CA 94010,CA,Burlingame,114000.0,171000.0,yearly,114000.0,171000.0,Entry-Level
data protection incident responder - usds - mtv,TikTok,"Mountain View, CA 94041",11/12/2024,"This role requires the ability to work with and support systems designed to protect sensitive data and information. This position requires the ability to work well under pressure, act quickly, bring…","Remote: Hybrid work
Benefits: Paid parental leave, Health savings account, AD&D insurance, Paid holidays, Disability insurance, Health insurance, Dental insurance, Flexible spending account, RSU, Paid time off, Parental leave, Employee assistance program, Vision insurance, 401(k) matching, Paid sick time",https://www.indeed.com/m/viewjob?jk=d9538d60fc3eea18,IndeedScraperUSAEng_d9538d60fc3eea18,IndeedScraperUSAEng,Data,USA_ENGLISH,$118800 - $196000 yearly,TEMPORARILY_REMOTE, CA 94041,CA,Mountain View,118800.0,196000.0,yearly,118800.0,196000.0,Entry-Level
files/documents clerk,Infosoft Teksolutions,"Darien, CT 06820",11/12/2024,Pay Rate: $25 to $27/HR. We are looking for a Files/Documents Clerk. This is a special project to thoroughly review HR files contained in 400+ boxes. Proficiency in MS Office suite.,"Job types: Contract
Shifts: 8 hour shift, Morning shift
Benefits: Health insurance, Dental insurance, 401(k), Paid time off, Vision insurance, Flexible schedule
Job types cc: Contract
Schedules: 8 hour shift, Morning shift",https://www.indeed.com/m/viewjob?jk=5289e77a93cd7444,IndeedScraperUSAEng_5289e77a93cd7444,IndeedScraperUSAEng,Data,USA_ENGLISH,$25 - $27 hourly,UNKNOWN, CT 06820,CT,Darien,25.0,27.0,hourly,52000.0,56160.0,Entry-Level
data scientist - san francisco,Rad Hires,"Sacramento, CA",10/5/2024,Work with large datasets and perform data analysis. Develop and implement data science models to solve business problems. Work with other team members to develop and implement data science solutions.,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=8dcb825dc6ff933e,IndeedScraperUSAEng_8dcb825dc6ff933e,IndeedScraperUSAEng,Data,USA_ENGLISH,$150000 - $170000 yearly,UNKNOWN, CA,CA,Sacramento,150000.0,170000.0,yearly,150000.0,170000.0,Entry-Level
"sports data operator - baseball/softball (yaphank, ny)",Realplay,"Yaphank, NY 11980",10/9/2024,"Realplay delivers video of every swing, pitch, and defensive play that any player makes on a baseball or softball field. Attend Realplay's partner facility ""Lasorda Legacy Park"", in Yaphank NY to…",,https://www.indeed.com/m/viewjob?jk=d3c9e78c0f71297a,IndeedScraperUSAEng_d3c9e78c0f71297a,IndeedScraperUSAEng,Data,USA_ENGLISH,$15 - $16 hourly,UNKNOWN, NY 11980,NY,Yaphank,15.0,16.0,hourly,31200.0,33280.0,Entry-Level
research consultant – data analytics,"TRC Companies, Inc.","Oakland, CA 94612",10/3/2024,"Build data visualization tools dashboards. Identify and collate secondary data sources. Synthesize information across multiple data sources. Compile, clean, and manage quantitative data.","Job types: Full-time
Benefits: Paid holidays, Disability insurance, Health insurance, Dental insurance, 401(k), Paid time off, Vision insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=9483823f577944f8,IndeedScraperUSAEng_9483823f577944f8,IndeedScraperUSAEng,Data,USA_ENGLISH,$71261 - $86715 yearly,UNKNOWN, CA 94612,CA,Oakland,71261.0,86715.0,yearly,71261.0,86715.0,Entry-Level
gcp data migration,Accenture,"Sacramento, CA 95811",10/3/2024,"Leverage ETL or ELT to build scalable data pipelines. Extracting, loading, transforming, cleaning, and validating data. Experience migrating data from legacy systems using tools like Hadoop, Exadata,…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=9cf96c34afd0eb66,IndeedScraperUSAEng_9cf96c34afd0eb66,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, CA 95811,CA,Sacramento,,,,,,Mid-Level
data scientist,Citizens Telecom Services Company,"Dallas, TX",11/6/2024,Develop new metrics and reporting from multiple data sources. Support existing databases and ETL processes to ensure data integrity. Experience working with data from various databases including SQL…,"Benefits: Paid parental leave, Caregiver leave, Partner benefits, Paid holidays, Health insurance, Dental insurance, Paid time off, Parental leave, Vision insurance, 401(k) matching
Schedules: Weekends as needed, Evenings as needed, On call",https://www.indeed.com/m/viewjob?jk=456473300e36701c,IndeedScraperUSAEng_456473300e36701c,IndeedScraperUSAEng,Data,USA_ENGLISH,$48000 - $150000 yearly,UNKNOWN, TX,TX,Dallas,48000.0,150000.0,yearly,48000.0,150000.0,Mid-Level
"salesforce mulesoft, marketing cloud, data and health cloud professionals (remote), northwell health",Northwell Health,"Raleigh, NC",10/12/2024,"Experience with managing unstructured data and streaming data, preferred. Strong knowledge of Business Intelligence & Analytics concepts and platforms, inclusive of data virtualization, data…","Job types: Full-time
Remote: Remote
Benefits: Health insurance, Dental insurance, 401(k), Tuition reimbursement, Paid time off
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=d16dc305516a6b51,IndeedScraperUSAEng_d16dc305516a6b51,IndeedScraperUSAEng,Data,USA_ENGLISH,$112800 - $291400 yearly,FULLY_REMOTE, NC,NC,Raleigh,112800.0,291400.0,yearly,112800.0,291400.0,Mid-Level
medical data labeler (contract),EvolutionIQ,"New York, NY",10/23/2024,You have the ability to label data accurately and effectively. Respond to requests for information and access relevant data sources. Enter data from source documents into a prescribed computer…,"Job types: Full-time, Contract
Job types cc: Full-time, Contract",https://www.indeed.com/m/viewjob?jk=60c729aec6d8894e,IndeedScraperUSAEng_60c729aec6d8894e,IndeedScraperUSAEng,Data,USA_ENGLISH,$30 - $30 hourly,UNKNOWN, NY,NY,New York,30.0,30.0,hourly,62400.0,62400.0,Entry-Level
strategic analytics,JPMorganChase,"Plano, TX 75024",11/13/2024,"Work both independently and collaboratively to complete analytical tasks starting with problem identification, analysis of large and complex data, and formulation of concise conclusions with…","Job types: Full-time
Benefits: Health insurance, Tuition reimbursement, Retirement plan
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=edd64c4771e1154f,IndeedScraperUSAEng_edd64c4771e1154f,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX 75024,TX,Plano,,,,,,Entry-Level
sap pp/qm consultant,NTT DATA,"Irving, TX 75039",11/5/2024,"Master data - Materials, BOM, Routing, work centers, production tools, Variant configuration (Class, characteristics and their assignment). As SAP PP/QM Consultant, you will anchor the engagement…",,https://www.indeed.com/m/viewjob?jk=594985d37834ad0a,IndeedScraperUSAEng_594985d37834ad0a,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX 75039,TX,Irving,,,,,,Mid-Level
product data scientist,PayPal,"New York, NY",10/9/2024,"Experience analyzing very large, complex, multi-dimensional data sets. This person will help generate insights by mining Venmo’s rich data and support experimentation efforts driven by the consumer…","Job types: Full-time
Remote: Hybrid work
Benefits: Health insurance, Dental insurance, Vision insurance, Life insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=1c900445b2a794ff,IndeedScraperUSAEng_1c900445b2a794ff,IndeedScraperUSAEng,Data,USA_ENGLISH,$72700 - $176000 yearly,TEMPORARILY_REMOTE, NY,NY,New York,72700.0,176000.0,yearly,72700.0,176000.0,Entry-Level
data scientist,Pashtek,"San Francisco, CA",10/5/2024,"Job Title: Data Scientist Location: San Francisco, CA Duration: Full-Time Experience Required: Minimum 10+ years Job Description: We are seeking a highly skilled and experienced Data Scientist…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=aca35d8600c41115,IndeedScraperUSAEng_aca35d8600c41115,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, CA,CA,San Francisco,,,,,,Senior-Level
data steward,Bright Vision Technologies,"Plano, TX 75024",11/13/2024,"Strong data management background who understands data, how to ingest data, proper data use/consumption, data quality, and stewardship. Strong data management background with understanding of how to…","Job types: Contract
Job types cc: Contract",https://www.indeed.com/m/viewjob?jk=06974ec03cdabded,IndeedScraperUSAEng_06974ec03cdabded,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX 75024,TX,Plano,,,,,,Entry-Level
scientific programmer,Business Integra Inc,"New York, NY 10025",11/6/2024,"Fitting and analysis of data-driven models using artificial intelligence/machine learning,. Scientific programming and statistical data analysis using Python, R, or Matlab,.","Job types: Full-time, Contract
Remote: Hybrid work
Benefits: Health insurance, Dental insurance, 401(k)
Job types cc: Full-time, Contract",https://www.indeed.com/m/viewjob?jk=c429e767d6f58d01,IndeedScraperUSAEng_c429e767d6f58d01,IndeedScraperUSAEng,Data,USA_ENGLISH,$80000 - $-1 yearly,TEMPORARILY_REMOTE, NY 10025,NY,New York,80000.0,,yearly,80000.0,,Entry-Level
scientific data curator 2,Stanford University,"Stanford, CA",10/5/2024,The Department of Genetics at Stanford University has an excellent opportunity for a motivated and experienced scientist that is interested in big data management and wrangling. In this position you…,"Job types: Full-time
Job types cc: Full-time
Schedules: Extended hours",https://www.indeed.com/m/viewjob?jk=509822ab3a607443,IndeedScraperUSAEng_509822ab3a607443,IndeedScraperUSAEng,Data,USA_ENGLISH,$95000 - $125000 yearly,UNKNOWN, CA,CA,Stanford,95000.0,125000.0,yearly,95000.0,125000.0,Entry-Level
early career statistician (remote),RTI International,"Durham, NC 27703",10/26/2024,"Demonstrated data manipulation and data management skills. Utilize standard statistical and/or data management software packages (e.g., R, SAS) to execute data processing and data analysis activities…","Job types: Full-time
Benefits: Paid parental leave, Disability insurance, Dental insurance, Paid time off, Parental leave, Employee assistance program
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=bb5ca1fb01e6614d,IndeedScraperUSAEng_bb5ca1fb01e6614d,IndeedScraperUSAEng,Data,USA_ENGLISH,$71000 - $87000 yearly,UNKNOWN, NC 27703,NC,Durham,71000.0,87000.0,yearly,71000.0,87000.0,Entry-Level
"data scientist, small commercial data science",The Hartford,"Hartford, CT",10/29/2024,"Experience with SQL and database navigation (e.g., Oracle, Snowflake) for data extraction. Assist in identifying and assessing the value of new data sources and analytical techniques to ensure ongoing…","Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=504d02d9566317d2,IndeedScraperUSAEng_504d02d9566317d2,IndeedScraperUSAEng,Data,USA_ENGLISH,$87120 - $160440 yearly,TEMPORARILY_REMOTE, CT,CT,Hartford,87120.0,160440.0,yearly,87120.0,160440.0,Entry-Level
"data scientist || dallas, tx (local only)",ANB Sourcing LLC,"Dallas, TX 75201",10/5/2024,"*Data Scientist Dallas, TX (Local only)* Long term contract. Visa: USC, GC or EAD-GC JD: * Data Scientist for SKU level forecasting for demand planning in supply chain using deep…","Job types: Full-time
Shifts: 8 hour shift
Job types cc: Full-time
Schedules: 8 hour shift",https://www.indeed.com/m/viewjob?jk=5624cb38813cfa68,IndeedScraperUSAEng_5624cb38813cfa68,IndeedScraperUSAEng,Data,USA_ENGLISH,$55 - $60 hourly,UNKNOWN, TX 75201,TX,Dallas,55.0,60.0,hourly,114400.0,124800.0,Entry-Level
expert data scientist - center of excellence in data science & artificial intelligence,PG&E Corporation,"Oakland, CA 94612",10/10/2024,"Creates advanced data mining architectures / models / protocols, statistical reporting, and data analysis methodologies to identify trends in structured and unstructured data sets.","Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=a6774259b571f1a3,IndeedScraperUSAEng_a6774259b571f1a3,IndeedScraperUSAEng,Data,USA_ENGLISH,$136000 - $232000 yearly,TEMPORARILY_REMOTE, CA 94612,CA,Oakland,136000.0,232000.0,yearly,136000.0,232000.0,Mid-Level
data scientist iv,Sutter Health,"Sacramento, CA 95834",10/26/2024,"Familiarity and experience with data preparation and processing – such as assessment of data quality, new variable creation/selection, etc. Provides support in making strategic data-related decisions…","Job types: Full-time
Shifts: 8 hour shift, Day shift
Remote: Hybrid work
Job types cc: Full-time
Schedules: 8 hour shift, Weekends as needed, Day shift, Monday to Friday",https://www.indeed.com/m/viewjob?jk=87fa2e1f337c311d,IndeedScraperUSAEng_87fa2e1f337c311d,IndeedScraperUSAEng,Data,USA_ENGLISH,$64.84 - $97.26 hourly,TEMPORARILY_REMOTE, CA 95834,CA,Sacramento,64.84,97.26,hourly,134867.2,202300.8,Mid-Level
ui/ux designer,NTT DATA,"Irving, TX 75039",11/2/2024,"Partner with clients and colleagues to understand UX problems and define solutions that balance business objectives, user needs, and technical restraints. Develop and communicate standard UI patterns.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=1673293db0532fdd,IndeedScraperUSAEng_1673293db0532fdd,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX 75039,TX,Irving,,,,,,Mid-Level
database marketing,BayOne,"Santa Clara, CA",10/15/2024,"Review data on customer demographics, needs, and buying habits to identify potential markets and factors affecting product demand. Modify existing databases and develop new database management systems…","Job types: Contract
Remote: Remote
Job types cc: Contract",https://www.indeed.com/m/viewjob?jk=31c607ffb9d7d2ce,IndeedScraperUSAEng_31c607ffb9d7d2ce,IndeedScraperUSAEng,Data,USA_ENGLISH,,FULLY_REMOTE, CA,CA,Santa Clara,,,,,,Mid-Level
"applied ml scientist, shortcuts",Apple,"Cupertino, CA",11/2/2024,"An ideal candidate for this role will have industry experience or equivalent hands-on research working with Transformers and Large Language Models (LLMs), as well as knowledge of other contemporary…","Job types: Full-time
Benefits: Employee stock purchase plan, Health insurance, Dental insurance, RSU, Retirement plan
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=5a1fd3fbf8a2ffd8,IndeedScraperUSAEng_5a1fd3fbf8a2ffd8,IndeedScraperUSAEng,Data,USA_ENGLISH,$121900 - $214500 yearly,UNKNOWN, CA,CA,Cupertino,121900.0,214500.0,yearly,121900.0,214500.0,Mid-Level
1 hour weekly-data collection + cleaning of filtered water equipment,"National Water Services, LLC.","Rockwell, TX",10/22/2024,Accurately record meter readings and pressure gauge data during service visits and promptly email collected data to the designated recipients within 24 hours of service performance.,Benefits: Paid training,https://www.indeed.com/m/viewjob?jk=d58dbca0e90da266,IndeedScraperUSAEng_d58dbca0e90da266,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX,TX,Rockwell,,,,,,Entry-Level
systems administrator/database administrator,School of Visual Arts,"New York, NY 10010",11/8/2024,"Skill in data analysis and problem-solving. Monitor and ensure ERP database data integrity and security. COMPENSATION: Full-time, Exempt Position - $90,000-$110,000.","Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time
Schedules: Evenings as needed, Holidays",https://www.indeed.com/m/viewjob?jk=36297a159e38413b,IndeedScraperUSAEng_36297a159e38413b,IndeedScraperUSAEng,Data,USA_ENGLISH,$90000 - $110000 yearly,TEMPORARILY_REMOTE, NY 10010,NY,New York,90000.0,110000.0,yearly,90000.0,110000.0,Entry-Level
architectural technologist - data centres,IBI Group,"Dallas, TX 75201",10/17/2024,"5 years' experience as an architectural technologist, designing complex projects with a preference toward data center experience. We are looking for an intermediate Architectural Technologist with…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=65a84a22f438527f,IndeedScraperUSAEng_65a84a22f438527f,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX 75201,TX,Dallas,,,,,,Mid-Level
jico/tactical data link technical instructor,Advanced Computer Learning Company,"Fort Liberty, NC 28307",10/9/2024,Security Responsibilities: You must comply with all company security and data protection / usage policies and procedures. TECHNICAL INSTRUCTOR (JICO or Link16). 7234 Tactical Air Defense Operator.,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=1ede93029605d6ae,IndeedScraperUSAEng_1ede93029605d6ae,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC 28307,NC,Fort Liberty,,,,,,Entry-Level
